song name,artist
Where I Stood,Missy Higgins
Stars,t.A.T.u.
Lovesong,Adele
Gravity,Sara Bareilles
If You Leave,Nada Surf
Le vent m'emporte,Cécile Corbel
Blue and Yellow,The Used
Are You There?,Anathema
Concrete Angel,Martina McBride
My Mamma Said,Aqua
Cerce's Armoured Owls,The Synthetic Dream Foundation
Finding Myself,Smile Empty Soul
Addicted,Enrique Iglesias
Your Call,Secondhand Serenade
Confessional (Give Me Sodomy Or Give Me Death),Diamanda Galás
It's So Hard To Say Goodbye To Yesterday,Boyz II Men
From My Hands,VNV Nation
Та4то,Бумбокс
Summoning Her Iron Golem,The Synthetic Dream Foundation
One Last Time,The Kooks
金環蝕,志方あきこ
Dont Speak,Labores Somnium
What We Want,Brittain Ashford
Рассвет,Crane's Dreams
John Wood,paloma
Hallelujah,Leonard Cohen
How to Be Dead,Snow Patrol
To Build a Home,The Cinematic Orchestra
Pitseleh,Elliott Smith
Somebody That I Used To Know,Elliott Smith
Breakeven,The Script
Lover I Don't Have to Love,Bright Eyes
Father And Son,Cat Stevens
The Closest Thing to Crazy,Katie Melua
Wild Horses,The Rolling Stones
Cat's in the Cradle,Harry Chapin
Hallelujah,John Cale
Stay,Sugarland
Street Spirit,Radiohead
Quiet,Rachael Yamagata
That Joke Isn't Funny Anymore,The Smiths
Thank You,Dido
My Lover's Gone,Dido
Pink Moon,Nick Drake
These Days,Nico
Tiny Tears,Tindersticks
Adagio,Tomaso Giovanni Albinoni
Better That We Break,Maroon 5
Nothing Better,The Postal Service
Shalott,Emilie Autumn
The Host of Seraphim,Dead Can Dance
The River,Bruce Springsteen
Sometimes You Can't Make It On Your Own,U2
Say It Right,Nelly Furtado
Photograph,Nickelback
Who Knew,Pink
World Spins Madly On,The Weepies
Map of the Problematique,Muse
One,Aimee Mann
One,Johnny Cash
Landlocked Blues,Bright Eyes
All Cats Are Grey,The Cure
Commercial for Levi,Placebo
Blue American,Placebo
Dear Darkness,PJ Harvey
Nude,Radiohead
Champagne Supernova,Oasis
Parasite,Nick Drake
Après Moi,Regina Spektor
Changes,Black Sabbath
Show Me the Meaning of Being Lonely,Backstreet Boys
Televators,The Mars Volta
All The Same,Sick Puppies
Passenger Seat,Death Cab for Cutie
You Were Mine,Dixie Chicks
Northern Lad,Tori Amos
Playboy Mommy,Tori Amos
Flames,Vast
Drugs or Me,Jimmy Eat World
Sleeping Sun,Nightwish
